Date,Close,MA_7,MA_30,MA_90,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2001-02-22,210.0,212.35714285714286,211.66666666666666,214.62222222222223,16.18,-9.140834,34329.53,0.0,0.0
2001-02-23,210.0,211.92857142857142,211.525,214.61388888888888,13.83,-8.6866665,29445.615,0.0,0.0
2001-02-24,210.0,211.5,211.375,214.60555555555555,1.74,0.2820833,0.0,14.5,19.0
2001-02-25,210.0,211.07142857142858,211.24166666666667,214.57777777777778,12.78,-1.5241666,29361.234,5.6,7.0
2001-02-26,209.75,210.60714285714286,211.1,214.57777777777778,10.75,-8.742917,26288.777,0.5,2.0
2001-02-27,209.5,210.17857142857142,210.95,214.6,9.8,-11.215833,13258.587,2.6,8.0
2001-02-28,211.25,210.07142857142858,211.03333333333333,214.66944444444445,17.76,-15.311666,35507.297,0.0,0.0
2001-03-01,214.5,210.71428571428572,211.225,214.73055555555555,9.39,-8.445001,18057.059,2.3,5.0
2001-03-02,217.0,211.71428571428572,211.50833333333333,214.81944444444446,17.56,-4.061667,35100.324,0.0,0.0
2001-03-03,217.0,212.71428571428572,211.79166666666666,214.90833333333333,15.1,-5.78875,29715.414,0.0,0.0
2001-03-04,217.0,213.71428571428572,211.975,214.98611111111111,14.28,-4.9075,36699.54,0.0,0.0
2001-03-05,215.5,214.53571428571428,212.10833333333332,215.04722222222222,17.6,-7.3554173,35403.273,0.0,0.0
2001-03-06,215.5,215.39285714285714,212.24166666666667,215.10833333333332,18.29,-7.8616657,38063.414,0.0,0.0
2001-03-07,215.75,216.03571428571428,212.33333333333334,215.17222222222222,9.74,-5.8095837,18086.295,0.0,0.0
2001-03-08,213.25,215.85714285714286,212.39166666666668,215.20833333333334,8.91,-3.7012498,6298.8633,0.0,0.0
2001-03-09,213.5,215.35714285714286,212.375,215.24722222222223,17.57,-3.7804165,33505.875,0.0,0.0
2001-03-10,213.5,214.85714285714286,212.45,215.2861111111111,9.75,-0.7345833,24131.672,1.3000001,3.0
2001-03-11,213.5,214.35714285714286,212.55833333333334,215.325,13.8,-1.7491666,28800.0,0.1,1.0
2001-03-12,213.5,214.07142857142858,212.66666666666666,215.36388888888888,9.61,1.9633335,12155.537,9.299999,11.0
2001-03-13,215.5,214.07142857142858,212.84166666666667,215.425,12.21,0.9070833,31130.682,0.3,1.0
2001-03-14,211.5,213.46428571428572,212.9,215.44166666666666,14.03,2.6508334,32730.14,1.6,5.0
2001-03-15,216.0,213.85714285714286,213.10833333333332,215.50833333333333,4.97,3.1362498,5001.408,4.6,8.0
2001-03-16,211.5,213.57142857142858,213.15,215.525,10.94,-0.28666672,0.0,12.6,20.0
2001-03-17,211.5,213.28571428571428,213.08333333333334,215.54166666666666,21.57,-2.8824997,36210.074,0.0,0.0
2001-03-18,211.5,213.0,213.03333333333333,215.49722222222223,17.76,-4.272083,38153.953,0.0,0.0
2001-03-19,208.75,212.32142857142858,212.89166666666668,215.42222222222222,20.17,-0.6470832,39472.734,0.0,0.0
2001-03-20,209.75,211.5,212.78333333333333,215.35833333333332,20.95,1.9737501,40027.18,0.0,0.0
